Date;Open;High;Low;Close;Adj Close;Volume;Aktienkürzel
06.03.2023;256,429993;260,119995;255,979996;256,869995;254,778931;24109800;MSFT
07.03.2023;256,299988;257,690002;253,389999;254,149994;252,081085;21473200;MSFT
08.03.2023;254,039993;254,539993;250,809998;253,699997;251,634735;17340200;MSFT
09.03.2023;255,820007;259,559998;251,580002;252,320007;250,265991;26653400;MSFT
10.03.2023;251,080002;252,789993;247,600006;248,589996;246,56636;28333900;MSFT
13.03.2023;247,399994;257,910004;245,729996;253,919998;251,852966;33339700;MSFT
14.03.2023;256,75;261,070007;255,860001;260,790009;258,667053;33620300;MSFT
15.03.2023;259,980011;266,480011;259,209991;265,440002;263,279205;46028000;MSFT
16.03.2023;265,209991;276,559998;263,279999;276,200012;273,951599;54768800;MSFT
17.03.2023;278,26001;283,329987;276,320007;279,429993;277,155334;69527400;MSFT
20.03.2023;276,980011;277,480011;269,850006;272,230011;270,013916;43466600;MSFT
21.03.2023;274,880005;275;269,519989;273,779999;271,5513;34558700;MSFT
22.03.2023;273,399994;281,040009;272,179993;272,290009;270,073456;34873300;MSFT
23.03.2023;277,940002;281,059998;275,200012;277,660004;275,399719;36610900;MSFT
24.03.2023;277,23999;280,630005;275,279999;280,570007;278,286041;28172000;MSFT
27.03.2023;280,5;281,459991;275,519989;276,380005;274,130127;26840200;MSFT
28.03.2023;275,790009;276,140015;272,049988;275,230011;272,989502;21878600;MSFT
29.03.2023;278,959991;281,140015;278,410004;280,51001;278,226532;25087000;MSFT
30.03.2023;284,230011;284,459991;281,480011;284,049988;281,737671;25053400;MSFT
31.03.2023;283,730011;289,269989;283;288,299988;285,953064;32766000;MSFT
03.04.2023;286,519989;288,269989;283,950012;287,230011;284,891815;24883300;MSFT
04.04.2023;287,230011;290,450012;285,670013;287,179993;284,842194;25824300;MSFT
05.04.2023;285,850006;287,149994;282,920013;284,339996;282,02533;22064800;MSFT
06.04.2023;283,209991;292,079987;282,029999;291,600006;289,226227;29770300;MSFT
10.04.2023;289,209991;289,600006;284,709991;289,390015;287,034241;23103000;MSFT
11.04.2023;285,75;285,980011;281,640015;282,829987;280,527588;27276600;MSFT
12.04.2023;284,790009;287,01001;281,959991;283,48999;281,182251;27403400;MSFT
13.04.2023;283,589996;289,899994;283,170013;289,839996;287,48056;24222700;MSFT
14.04.2023;287;288,480011;283,690002;286,140015;283,810699;20987900;MSFT
17.04.2023;289,929993;291,600006;286,160004;288,799988;286,449036;23836200;MSFT
18.04.2023;291,570007;291,76001;287,01001;288,369995;286,022491;20161800;MSFT
19.04.2023;285,98999;289,049988;284,540009;288,450012;286,101898;17150300;MSFT
20.04.2023;285,25;289,029999;285,079987;286,109985;283,780914;23244400;MSFT
21.04.2023;285,01001;286,269989;283,059998;285,76001;283,433777;21676400;MSFT
24.04.2023;282,089996;284,950012;278,720001;281,769989;279,476227;26611000;MSFT
25.04.2023;279,51001;281,600006;275,369995;275,420013;273,177917;45772200;MSFT
26.04.2023;296,700012;299,570007;292,730011;295,369995;292,965546;64599200;MSFT
27.04.2023;295,970001;305,200012;295,25;304,829987;302,348541;46462600;MSFT
28.04.2023;304,01001;308,929993;303,309998;307,26001;304,758789;36446700;MSFT
01.05.2023;306,970001;308,600006;305,149994;305,559998;303,072571;21294100;MSFT
02.05.2023;307,76001;309,179993;303,910004;305,410004;302,923798;26404400;MSFT
03.05.2023;306,619995;308,609985;304,089996;304,399994;301,922028;22360800;MSFT
04.05.2023;306,23999;307,76001;303,399994;305,410004;302,923798;22519900;MSFT
05.05.2023;305,720001;311,970001;304,269989;310,649994;308,121155;28181200;MSFT
08.05.2023;310,130005;310,200012;306,089996;308,649994;306,137451;21318600;MSFT
09.05.2023;308;310,040009;306,309998;307;304,500854;21340800;MSFT
10.05.2023;308,619995;313;307,670013;312,309998;309,767609;30078000;MSFT
11.05.2023;310,100006;311,119995;306,26001;310,109985;307,585541;31680200;MSFT
12.05.2023;310,549988;310,649994;306,600006;308,970001;306,454865;19758100;MSFT
15.05.2023;309,100006;309,899994;307,589996;309,459991;306,940857;16336500;MSFT
16.05.2023;309,829987;313,709991;309,829987;311,73999;309,202301;26730300;MSFT
17.05.2023;312,290009;314,429993;310,73999;314;312,124725;24315000;MSFT
18.05.2023;314,529999;319,040009;313,720001;318,519989;316,617737;27276000;MSFT
19.05.2023;316,73999;318,75;316,369995;318,339996;316,438782;27529500;MSFT
22.05.2023;318,600006;322,589996;318,01001;321,179993;319,261871;24115700;MSFT
23.05.2023;320,029999;322,720001;315,25;315,26001;313,377228;30797200;MSFT
24.05.2023;314,730011;316,5;312,609985;313,850006;311,975616;23384900;MSFT
25.05.2023;323,23999;326,899994;320;325,920013;323,973572;43301700;MSFT
26.05.2023;324,019989;333,399994;323,880005;332,890015;330,901917;36630600;MSFT
30.05.2023;335,230011;335,73999;330,519989;331,209991;329,231934;29503100;MSFT
31.05.2023;332,290009;335,940002;327,329987;328,390015;326,428802;45950600;MSFT
01.06.2023;325,929993;333,529999;324,720001;332,579987;330,593719;26773900;MSFT
02.06.2023;334,25;337,5;332,549988;335,399994;333,396942;25864000;MSFT
05.06.2023;335,220001;338,559998;334,660004;335,940002;333,933716;21307100;MSFT
06.06.2023;335,329987;335,369995;332,170013;333,679993;331,687225;20396200;MSFT
07.06.2023;331,649994;334,48999;322,5;323,380005;321,44873;40717100;MSFT
08.06.2023;323,940002;326,640015;323,350006;325,26001;323,317474;23277700;MSFT
09.06.2023;324,98999;329,98999;324,410004;326,790009;324,838348;22514900;MSFT
12.06.2023;328,579987;332,100006;325,160004;331,850006;329,868134;24260300;MSFT
13.06.2023;334,470001;336,980011;330,390015;334,290009;332,293549;22951300;MSFT
14.06.2023;334,339996;339,040009;332,809998;337,339996;335,325317;26003800;MSFT
15.06.2023;337,480011;349,839996;337,200012;348,100006;346,021057;38899100;MSFT
16.06.2023;351,320007;351,470001;341,950012;342,329987;340,285492;46533600;MSFT
20.06.2023;339,309998;342,079987;335,859985;338,049988;336,031067;26375400;MSFT
21.06.2023;336,369995;337,730011;332,070007;333,559998;331,567902;25117800;MSFT
22.06.2023;334,119995;340,119995;333,339996;339,709991;337,681183;23556800;MSFT
23.06.2023;334,359985;337,959991;333,450012;335,019989;333,019196;23084700;MSFT
26.06.2023;333,720001;336,109985;328,48999;328,600006;326,637543;21520600;MSFT
27.06.2023;331,859985;336,149994;329,299988;334,570007;332,571899;24354100;MSFT
28.06.2023;334,660004;337,980011;333,809998;335,850006;333,844238;20259500;MSFT
29.06.2023;334,709991;336,109985;332,619995;335,049988;333,049011;16997000;MSFT
30.06.2023;337,75;342,730011;337,200012;340,540009;338,506226;26823800;MSFT
03.07.2023;339,190002;340,899994;336,570007;337,98999;335,971436;12508700;MSFT
05.07.2023;335,089996;341,649994;334,730011;338,149994;336,130463;18172400;MSFT
06.07.2023;337,299988;342,98999;335,5;341,269989;339,231842;28161200;MSFT
07.07.2023;339,320007;341,790009;337;337,220001;335,206024;21185300;MSFT
10.07.2023;334,600006;335,230011;327,589996;331,829987;329,848206;32791400;MSFT
11.07.2023;331,059998;332,859985;327;332,470001;330,484436;26698200;MSFT
12.07.2023;336,600006;341,649994;335,670013;337,200012;335,186188;29995300;MSFT
13.07.2023;339,559998;343,73999;339,019989;342,660004;340,613556;20567200;MSFT
14.07.2023;347,589996;351,429993;344,309998;345,23999;343,178131;28302200;MSFT
17.07.2023;345,679993;346,98999;342,200012;345,730011;343,665253;20363900;MSFT
18.07.2023;345,829987;366,779999;342,170013;359,48999;357,343048;64872700;MSFT
19.07.2023;361,75;362,459991;352,440002;355,079987;352,959381;39732900;MSFT
20.07.2023;353,570007;357,970001;345,369995;346,869995;344,798431;33778400;MSFT
21.07.2023;349,149994;350,299988;339,829987;343,769989;341,716919;69368900;MSFT
24.07.2023;345,850006;346,920013;342,309998;345,109985;343,048889;26678100;MSFT
25.07.2023;347,109985;351,890015;345,070007;350,980011;348,88385;41637700;MSFT
26.07.2023;341,440002;344,670013;333,109985;337,769989;335,752747;58383700;MSFT
27.07.2023;340,480011;341,329987;329,049988;330,720001;328,744904;39635300;MSFT
28.07.2023;333,670013;340,01001;333,170013;338,369995;336,349182;28484900;MSFT
31.07.2023;336,920013;337,700012;333,359985;335,920013;333,913818;25446000;MSFT
01.08.2023;335,190002;338,540009;333,700012;336,339996;334,331299;18311900;MSFT
02.08.2023;333,630005;333,630005;326,359985;327,5;325,544098;27761300;MSFT
03.08.2023;326;329,880005;325,950012;326,660004;324,709137;18253700;MSFT
04.08.2023;331,880005;335,140015;327,23999;327,779999;325,822388;23727700;MSFT
07.08.2023;328,369995;331,109985;327,519989;330,109985;328,138519;17741500;MSFT
08.08.2023;326,959991;328,75;323;326,049988;324,102753;22327600;MSFT
09.08.2023;326,470001;327,109985;321,049988;322,230011;320,305573;22373300;MSFT
10.08.2023;326,019989;328,26001;321,179993;322,929993;321,001404;20113700;MSFT
11.08.2023;320,26001;322,410004;319,209991;321,01001;319,092865;24342600;MSFT
14.08.2023;321,390015;324,059998;320,079987;324,040009;322,104767;18836100;MSFT
15.08.2023;323;325,089996;320,899994;321,859985;319,937775;16966300;MSFT
16.08.2023;320,799988;324,420013;319,799988;320,399994;319,160797;20698900;MSFT
17.08.2023;320,540009;321,869995;316,209991;316,880005;315,654449;21257200;MSFT
18.08.2023;314,48999;318,380005;311,549988;316,480011;315,255981;24744800;MSFT
21.08.2023;317,929993;322,769989;317,040009;321,880005;320,635071;24040000;MSFT
22.08.2023;325,5;326,079987;321,459991;322,459991;321,21283;16102000;MSFT
